review_id,source,user_rating,review_text,category,review_date,sentiment,quality_score
review_000001,play_store,1,YOU SUSPEND MY ACCOUNT TWO TIMES ALREADY. I DIDNT DO ANYTHING THAT VIOLATE THE COMMUNITY STANDARD. LIKE IN A WEEK YOU SUSPEND MY TWO ACCOUNTS!!!!!!,Account Suspension,2026-06-21,negative,5
review_000002,play_store,1,"This app is becoming really useless; it’s banning everyone's accounts for no reason. It has banned all 4-5 of my accounts without any cause. TikTok was better than this. They give blue ticks to accounts that show nudity on Instagram, but they ban accounts that make good videos and don't post anything inappropriate. This app is completely useless and should be banned in India.",Account Suspension,2026-06-21,negative,5
review_000003,app_store,1,Updates will completely knock you out of system it’s been 7 days. Still no response or update,Performance Issues,2026-06-21,negative,4
review_000004,play_store,4,The algorithm is absolutely horrible these days. I'm not even seeing posts of people I follow even in the following feed. nothing is up to date. I'm missing so many posts unless I go searching for them which absolutely defeats the purpose. needs an update. I will know that this is only in the app format and when I use my desktop browser it works fine.,Reels & Feed Algorithm,2026-06-21,negative,4
review_000005,app_store,1,I was talking with best friend then I went to sleep and I got suspended. I’ve spent atleast 60$ dollars on my vr headset and account. I have no idea why I was wrongly banned Ive already submitted an appeal and thinking about reporting this app because it stole my money and I’m fuming really mad. FIX YOUR APP AND STUPID AI pleaseeee enable my account back instaaaaa.,Account Suspension,2026-06-17,negative,5
review_000006,app_store,5,I just love instagram it helps me show off my talents while inspiring with new things to create,General Feedback,2026-06-20,positive,4
review_000007,play_store,5,"“Dear Instagram Team, my account (mr Prashant kumawat) has been deactivated. I believe this is a mistake as I have always followed all community guidelines and terms of service. I request you to please review my account and reactivate it as soon as possible. Thank you for your time and assistance.”",Account Suspension,2026-06-21,negative,5
review_000008,app_store,1,"Before I switched to my iPhone I had a Samsung, the app would work just fine and after scrolling though my feed for about five or seven minutes before it bugs out and stops playing videos and loading anything. Then my friends and my sibling who use iPhone told me it was my phone and to switch and I am still having this issue.
Even when my internet and WiFi is at full bars.",Performance Issues,2026-06-19,negative,4
review_000009,play_store,1,this app sucks and trash I'm trying to log in and my password is right but this stupid app said incorrect password please try again later fix that your app sucks,Authentication Issues,2026-06-21,negative,4
review_000010,app_store,1,"There is a massive database synchronization flaw between the user-facing privacy settings and Meta's backend production servers. Even when privacy controls are explicitly set to ""Everyone,"" the backend logic permanently freezes the account into a restricted state, forcing broken algorithmic folders like ""You May Know"" and ""Hidden Requests"" to stay active.

This causes a destructive user interface loop: when trying to accept or clear a pending message request, the UI violently flickers, the action buttons vanish/reappear, and the server rejects the command because it cannot reconcile the hidden folder attributes with the active profile settings.

I have performed a total hardware and software purge. I completely wiped the iOS Keychain credentials, deleted iCloud backup streams, uninstalled/reinstalled the app, verified the cross-platform folder mismatch on separate desktop web browsers, and sat through a 72-hour server lockout.

Reporting this via ""Shake to Report"" and the standard support logs over 15 times yields absolutely zero action. Unusable.",Performance Issues,2026-06-20,negative,5
review_000011,play_store,5,"i Love this App, Easy to use, especially the access to edit your pictures and videos and the link up to Facebook..",Feature Requests,2026-06-21,positive,4
review_000012,play_store,3,"hmm I'm trying to confirm my identification,but you don't send me code.",Authentication Issues,2026-06-21,negative,4
review_000013,play_store,1,worst mine id disabled and i didn't do anything with that I'm so angry with that bruh worst thing that can happen in whole life and whenever I try to create another one it also got suspended 🫩,Account Suspension,2026-06-21,negative,5
review_000014,play_store,1,"""This app is terrible. Whenever a follow starts going to our friends, they suspend the account. No matter what you do, the account gets suspended. I haven't seen a worse app than this."" 😏😏😒😒",Account Suspension,2026-06-21,negative,5
review_000015,play_store,1,I don't like this app cuz when I try to make a new account suddenly the account was suspended by instagram please solve this problem to reinstall Instagram for my exclusive work plzzz,Account Suspension,2026-06-21,negative,4
review_000016,play_store,4,"Hello Instagram Team, I’ve noticed that my followers are decreasing every day without any reason. My content is original and active, but my reach and engagement have suddenly dropped. Please review my account activity and fix this issue. Thank you.",Reels & Feed Algorithm,2026-06-21,negative,4
review_000017,app_store,3,I like instagram but you guys slow thousands of racist comments but soon as I type a cuss word it’s a promble,Content Moderation,2026-06-19,negative,4
review_000018,play_store,1,After update the worst going . bcz of data ... old version very good with slow data and connection of data . this new version have full data but no use of it,Performance Issues,2026-06-21,negative,4
review_000019,play_store,4,now I'm having problems signing in on a new phone and I never set up two factor authentication so it's asking for a code but I don't have one and I've sent like 5 emails to them already and no response,Authentication Issues,2026-06-21,negative,5
review_000020,app_store,1,"IMPOSSIBLE to just talk to a person. My account got suspended for something that makes zero sense, I had to upload my PASSPORT FFS, and all I can do is talk to some stupid AI bot telling me info I already know that it’s under review. If AI actually worked it’d be fun but it clearly can’t function right most of the time so why would you let it make decisions on suspending accounts or not and why wouldn’t you have actual humans fix its mistakes",Account Suspension,2026-06-20,negative,5
review_000021,app_store,4,I really love using Instagram but I miss the preview when replaying to a video in chat which appears on the side. Please bring that back again. I love using Insagram this is the only thing im looking to be back on Instagram. Thanks,Feature Requests,2026-06-19,positive,4
review_000022,play_store,5,best for album n keep memory. but less safety. possible to corrupt n hard to contact customer service,Customer Support,2026-06-21,negative,4
review_000023,app_store,1,"insta devs are like Mind-duck simps, they ban your 700 follower account for being racist. But females and simps are allowed to post porn ads???? Worthless unwanted showerless garbage simping devs ong",Content Moderation,2026-06-21,negative,4
review_000024,play_store,1,i don't get the new update of uploading photos in the command section.. my phone is vivo y21t.. I don't know if it's because of either the phone or any issues.. it's so frustrating that I didn't get new updates on time,Performance Issues,2026-06-21,negative,5
review_000025,play_store,5,this is the best social media app I've used. but I would love an improvement in the video quality.,Feature Requests,2026-06-21,positive,4
review_000026,app_store,1,"The hypocrisy is THICK with insta! They censor BAD! They allow massive death threats toward Reps. They allow violence toward left. Insta protects the LEFT & liberal minded. Throwing anyone that thinks for themselves, loves America or has common sense, under the bus. I TRULY HOPE, Instagram, TikTok and YouTube, go bankrupt soon!",Content Moderation,2026-06-20,negative,5
review_000027,play_store,1,"My Instagram accoun was permanently disabled for alleged child safety violations, even though I have never engaged in or posted such content. I believe my account was wrongly flagged and request Instagram to review my case again. (@voidinthespacw)",Account Suspension,2026-06-21,negative,4
review_000028,play_store,1,"Instagram is absolutely terrible; it has suspended my account 10–15 times without any reason. Even when I created an account from a different mobile, my ID got suspended 6–7 times. On top of that, it suspended the accounts of 4–5 of my friends without cause, claiming we were committing fraud—even though I have never used abusive language or engaged in any fraud or scams on the platform. This app is suspending everyone's accounts for no reason; Instagram should be banned 🙌🙌🙌",Account Suspension,2026-06-21,negative,5
review_000029,app_store,1,"In the new version, stories are replaced with recommended follows, so I can’t see my stories. That’s the whole point of instagram!",Reels & Feed Algorithm,2026-06-20,negative,4
review_000030,app_store,1,Why are yall banning me I made like 5 accounts and all yall did was ban me I didn’t even post but when it’s gang members posting guns and drugs yall ignore it😹,Account Suspension,2026-06-18,negative,5
review_000031,play_store,1,"Why did you just suddenly suspended my account? and even suspended my Facebook too, You're META AI is not helping at all!!!! The New META AI SYSTEM is SUCH A MESS!!! this is SUCH AN UNFAIR SITUATION!!!",Account Suspension,2026-06-21,negative,4
review_000032,app_store,1,"Instagram hides any comments that are critical of the state or its narratives (the comments don’t even have to be profane), forces users to self-censor by not allowing people to post until their AI algorithm deems the message kosher, and quiets voices of dissent. This app is garbage now.",Content Moderation,2026-06-18,negative,5
review_000033,app_store,1,"Cannot recommend on the basis of how damaging it is to one’s neurological health, it erodes social trust and connections by way of its features and is generally detrimental, causing rotting regardless of age or way of use. communicate in any other manner.",General Feedback,2026-06-06,negative,4
review_000034,play_store,5,"This is very nice app. We can talk with friends, explore the reels and stories. We can share notes.",Messaging & DMs,2026-06-21,positive,4
review_000035,play_store,1,my id is getting suspended instantly after creating new id,Account Suspension,2026-06-21,negative,4
review_000036,play_store,1,"This is not fair, you took away my account four times on the grounds that you are not active. why are they doing this Did I do you any harm after all?",Account Suspension,2026-06-21,negative,4
review_000037,play_store,5,"Everything is fine but my ID is getting suspended again and again due to one mistake, I am not even able to use Instagram properly, I have only one phone, please use Instagram. 😭🫶",Account Suspension,2026-06-21,negative,5
review_000038,play_store,3,"Instagram applies inconsistent and unfair restrictions on music features. On my original account, I am unable to add music to Notes or Stories, while the same songs are available to other users. This is clear account-based discrimination with no explanation or transparency. Users should not be forced to create new accounts to access basic features. If a feature exists, it must be available equally to all users. This is poor policy management and a bad user experience.",Feature Requests,2026-06-21,negative,5
review_000039,app_store,1,App has become completely unenjoyable. I have ads shoved down my throat at all times. I’ve selected “not interested” on every single ad I’ve seen for about 2 months straight with no change. It’s every 3rd photo and every other video on reels. BYE👋🏼,Privacy Concerns,2026-06-17,negative,4
review_000040,app_store,4,This is nottt fair. why does mobile only have voice effects ? I hate when a app creates updates and only allows for certain devices that’s so stupid to announce if it isn’t for every device.,Feature Requests,2026-06-18,negative,4
review_000041,play_store,5,We can Text with friends And Do vid calls and Watch reels And it So Funn,Messaging & DMs,2026-06-21,positive,4
review_000042,play_store,1,instagram very gatiya platform hai bar bar id suspend karta hai,Account Suspension,2026-06-21,negative,4
